% Magnetic field reconstruction point table
% Method: Separable Global Ordinary Kriging
% Grid size: 100 x 100 (rows=y, columns=x)
% Length unit: mm
% Magnetic field unit: T
% z plane: -20 mm
% Data order: y-major rows, x increasing within each row
% Columns use tab separators
% x(mm)	y(mm)	z(mm)	Bx(T)	By(T)	Bz(T)
-13	-95	-20	-0.000381917165779	0.000228137462516	-0.00074047728446
-11	-95	-20	-0.000388367807575	0.000218115165654	-0.000751547506218
-9	-95	-20	-0.000394834470765	0.000207656567087	-0.000758197212691
-7	-95	-20	-0.000401384371704	0.000196567213007	-0.000761264184922
-5	-95	-20	-0.000407943032976	0.0001847235715	-0.000762652011807
-3	-95	-20	-0.000414332212511	0.000172110769524	-0.000764737131844
-1	-95	-20	-0.000420339374677	0.000158836707083	-0.000769620729902
1	-95	-20	-0.00042579439283	0.000145117704307	-0.000778460930627
3	-95	-20	-0.000430628468629	0.000131236573151	-0.000791097736427
5	-95	-20	-0.000434897403968	0.000117480472547	-0.000806092388952
7	-95	-20	-0.000438763648857	0.000104071771605	-0.000821172484423
9	-95	-20	-0.000442444830357	9.11087505271e-05	-0.00083394533051
11	-95	-20	-0.000446146544673	7.85327729209e-05	-0.000842655699265
13	-95	-20	-0.000450001115792	6.61337402497e-05	-0.00084674815781
15	-95	-20	-0.000454030928027	5.35966090154e-05	-0.000847054244957
17	-95	-20	-0.000458146201504	4.058039426e-05	-0.000845542438744
19	-95	-20	-0.000462175757506	2.68104626892e-05	-0.0008447071657
21	-95	-20	-0.000465919111705	1.21584947528e-05	-0.000846788206138
23	-95	-20	-0.00046920228685	-3.31498671272e-06	-0.000853066959595
25	-95	-20	-0.000471919697969	-1.93722141717e-05	-0.000863463175612
27	-95	-20	-0.000474050033302	-3.56657905909e-05	-0.000876561637022
29	-95	-20	-0.000475643174038	-5.18468708912e-05	-0.00089006234572
31	-95	-20	-0.000476784770902	-6.76838454841e-05	-0.000901512964184
33	-95	-20	-0.000477552014078	-8.31546954492e-05	-0.000909091507156
35	-95	-20	-0.000477976251644	-9.848048174e-05	-0.000912189735126
37	-95	-20	-0.000478024907631	-0.000114082748077	-0.000911609453316
39	-95	-20	-0.000477607846686	-0.000130470266347	-0.000909305859357
41	-95	-20	-0.000476604471365	-0.000148083967887	-0.000907755836927
43	-95	-20	-0.000474900447392	-0.000167145500361	-0.000909149115307
45	-95	-20	-0.000472419558607	-0.000187558447588	-0.000914658235089
47	-95	-20	-0.000469137995601	-0.000208899292465	-0.000924020493613
49	-95	-20	-0.000465074838308	-0.000230510002093	-0.00093556826462
51	-95	-20	-0.000460261457758	-0.000251672585305	-0.000946703595797
53	-95	-20	-0.000454700945955	-0.00027181780155	-0.00095467308355
55	-95	-20	-0.000448333442795	-0.000290704895317	-0.000957403981046
57	-95	-20	-0.000441022398175	-0.000308512953598	-0.000954142497786
59	-95	-20	-0.000432570233662	-0.000325807701412	-0.000945696760791
61	-95	-20	-0.000422761409215	-0.000343384372752	-0.000934210561825
63	-95	-20	-0.000411419969083	-0.000362026875274	-0.000922540714891
65	-95	-20	-0.000398461189026	-0.000382253167394	-0.00091343415569
67	-95	-20	-0.000383916165055	-0.000404126169795	-0.000908761789968
69	-95	-20	-0.000367915311543	-0.000427194041212	-0.000909045298898
71	-95	-20	-0.000350630389126	-0.000450586425302	-0.000913417309022
73	-95	-20	-0.000332190980568	-0.000473244776729	-0.000920015009855
75	-95	-20	-0.00031260489139	-0.000494219944009	-0.000926667082265
77	-95	-20	-0.000291717515245	-0.000512943518459	-0.000931638331556
79	-95	-20	-0.000269239453733	-0.000529380821935	-0.000934176240274
81	-95	-20	-0.000244854636341	-0.000544004189871	-0.000934665553414
83	-95	-20	-0.000218396664274	-0.000557577503882	-0.000934321892368
85	-95	-20	-0.000190055950696	-0.000570801596001	-0.000934504346344
87	-95	-20	-0.000160562446466	-0.00058391730642	-0.0009358535486
89	-95	-20	-0.000131284972488	-0.000596383588021	-0.000937526490821
91	-95	-20	-0.000104201394561	-0.000606734764243	-0.000936782139837
93	-95	-20	-8.17220185808e-05	-0.000612676717907	-0.000929078012301
95	-95	-20	-6.63847816007e-05	-0.000611418772817	-0.00090869576873
97	-95	-20	-6.04752070168e-05	-0.000600174425297	-0.000869766152341
99	-95	-20	-6.56467722183e-05	-0.000576718129349	-0.000807453307476
-99	-93	-20	-4.20195975357e-05	0.000317991781758	-0.000354097559404
-97	-93	-20	-2.79497500205e-05	0.000322908583778	-0.00039970874987
-95	-93	-20	-2.29642600385e-05	0.000326798629911	-0.000427971931795
-93	-93	-20	-2.5451173126e-05	0.000329926628569	-0.00044248825776
-91	-93	-20	-3.33384183963e-05	0.000332587474158	-0.000447644429031
-89	-93	-20	-4.44784642154e-05	0.000335037526323	-0.00044774156666
-87	-93	-20	-5.70026758333e-05	0.000337439779466	-0.000446239870705
-85	-93	-20	-6.95679902109e-05	0.000339837000604	-0.000445295346723
-83	-93	-20	-8.1449061165e-05	0.000342159471432	-0.000445683524967
-81	-93	-20	-9.24716140279e-05	0.000344264318174	-0.000447096285665
-79	-93	-20	-0.000102825023746	0.00034599435677	-0.000448693495217
