% Magnetic field reconstruction point table
% Method: Gaussian RBF
% Grid size: 100 x 100 (rows=y, columns=x)
% Length unit: mm
% Magnetic field unit: T
% z plane: -20 mm
% Data order: y-major rows, x increasing within each row
% Columns use tab separators
% x(mm)	y(mm)	z(mm)	Bx(T)	By(T)	Bz(T)
-67	-95	-20	-0.000153117107234	-7.84909832806e-05	-0.000319608404268
-65	-95	-20	-0.000157413319166	-0.000100381434614	-0.000310331276797
-63	-95	-20	-0.000163242763736	-0.000113655385222	-0.000303555845936
-61	-95	-20	-0.00017083578363	-0.00011753871687	-0.000299989533778
-59	-95	-20	-0.000180342276433	-0.00011175594509	-0.0003002117633
-57	-95	-20	-0.000191817038779	-9.65867489461e-05	-0.000304641600094
-55	-95	-20	-0.000205210375308	-7.2891234603e-05	-0.000313513740192
-53	-95	-20	-0.000220364896546	-4.20996077567e-05	-0.000326864547187
-51	-95	-20	-0.000237019021201	-6.16423694819e-06	-0.00034452917688
-49	-95	-20	-0.000254817230568	3.25252633794e-05	-0.000366150069875
-47	-95	-20	-0.00027332663187	7.12605123883e-05	-0.000391196302014
-45	-95	-20	-0.000292058912849	0.00010716028086	-0.000418992523694
-43	-95	-20	-0.000310496351537	0.000137335331686	-0.00044875555392
-41	-95	-20	-0.000328120218883	0.000159061807564	-0.000479636178042
-39	-95	-20	-0.000344439706936	0.000169951648008	-0.000510763371116
-37	-95	-20	-0.000359019451011	0.000168108222383	-0.000541288057017
-35	-95	-20	-0.000371503798289	0.000152255980468	-0.000570423623355
-33	-95	-20	-0.000381636202682	0.00012183443352	-0.000597480731537
-31	-95	-20	-0.000389272479157	7.70490951046e-05	-0.000621894459917
-29	-95	-20	-0.000394387101744	1.88749677323e-05	-0.000643242451373
-27	-95	-20	-0.000397072241559	-5.09884661216e-05	-0.000661253450068
-25	-95	-20	-0.000397529772306	-0.000130208267724	-0.000675806345745
-23	-95	-20	-0.000396056977707	-0.00021594921235	-0.000686920537973
-21	-95	-20	-0.000393027137043	-0.000305036263788	-0.000694739033105
-19	-95	-20	-0.000388866506612	-0.000394137196594	-0.000699506148687
-17	-95	-20	-0.000384029430215	-0.000479952748347	-0.000701541992169
-15	-95	-20	-0.000378973385653	-0.000559401197909	-0.000701215986482
-13	-95	-20	-0.000374135703702	-0.000629784793925	-0.000698921633245
-11	-95	-20	-0.000369913489904	-0.000688926954876	-0.000695054449144
-9	-95	-20	-0.000366647957773	-0.000735271500634	-0.00068999460905
-7	-95	-20	-0.000364613973501	-0.000767938159047	-0.000684095318047
-5	-95	-20	-0.000364015152103	-0.000786731971226	-0.000677677357878
-3	-95	-20	-0.000364984371793	-0.000792107717977	-0.000671029658971
-1	-95	-20	-0.000367589125756	-0.000785093824026	-0.000664415184786
1	-95	-20	-0.000371840744263	-0.000767183102336	-0.000658080924798
3	-95	-20	-0.000377706225352	-0.000740199954677	-0.00065227041377
5	-95	-20	-0.000385121231672	-0.000706155082223	-0.000647236957073
7	-95	-20	-0.000394002757852	-0.000667099287576	-0.000643255663133
