% Magnetic field reconstruction point table
% Method: Smoothing Thin Plate Spline
% Grid size: 100 x 100 (rows=y, columns=x)
% Length unit: mm
% Magnetic field unit: T
% z plane: -20 mm
% Data order: y-major rows, x increasing within each row
% Columns use tab separators
% x(mm)	y(mm)	z(mm)	Bx(T)	By(T)	Bz(T)
9	-99	-20	-0.000437425365422	9.04024669662e-05	-0.000684494186636
11	-99	-20	-0.000441043716679	7.73509982152e-05	-0.000691372006258
13	-99	-20	-0.00044463835165	6.43472248871e-05	-0.000696791947426
15	-99	-20	-0.000448057599005	5.1174512006e-05	-0.000701604946302
17	-99	-20	-0.000451215021848	3.77249325159e-05	-0.000706283304496
19	-99	-20	-0.000454063885948	2.39564482175e-05	-0.000711058793174
21	-99	-20	-0.000456571298607	9.84786382668e-06	-0.000716063103047
23	-99	-20	-0.000458712500908	-4.61605732852e-06	-0.000721356915962
25	-99	-20	-0.000460469407506	-1.94513002144e-05	-0.000726937265963
27	-99	-20	-0.00046183137357	-3.46755999518e-05	-0.000732735288099
29	-99	-20	-0.00046279856207	-5.03045737313e-05	-0.000738603619752
31	-99	-20	-0.000463391293465	-6.63435879385e-05	-0.000744278580819
33	-99	-20	-0.00046368915696	-8.27716004867e-05	-0.000749210620707
35	-99	-20	-0.000463869718033	-9.9526530185e-05	-0.000752398038302
37	-99	-20	-0.0004636663206	-0.000116635133882	-0.000754824127084
39	-99	-20	-0.00046291425883	-0.000134082065749	-0.000757019977048
41	-99	-20	-0.000461515994305	-0.00015182367342	-0.000759230308061
43	-99	-20	-0.000459405878996	-0.000169803781908	-0.000761581779119
45	-99	-20	-0.000456544531991	-0.000187962173955	-0.00076411834541
47	-99	-20	-0.000452919133828	-0.000206239904209	-0.00076680971044
49	-99	-20	-0.000448546455783	-0.000224581580942	-0.000769547121769
51	-99	-20	-0.000443478906264	-0.000242935629556	-0.000772125926509
53	-99	-20	-0.000437818012773	-0.000261256179108	-0.000774198129042
55	-99	-20	-0.000431767599348	-0.000279524763627	-0.000775071525843
57	-99	-20	-0.00042568525785	-0.000297773367466	-0.000773514019272
59	-99	-20	-0.000419339238698	-0.000315713954427	-0.000770599020344
61	-99	-20	-0.000412650343497	-0.000333115205248	-0.000766863656228
63	-99	-20	-0.000405639475651	-0.000349785401406	-0.000762507601899
65	-99	-20	-0.000398374256343	-0.00036555590848	-0.000757595986947
67	-99	-20	-0.000390957404029	-0.000380283145909	-0.000752106669691
69	-99	-20	-0.000383527645084	-0.000393849869079	-0.000745943100474
71	-99	-20	-0.000376275864929	-0.000406160181902	-0.000738924655929
73	-99	-20	-0.000369494645395	-0.000417122606339	-0.000730742656059
75	-99	-20	-0.000363724829544	-0.000426606054017	-0.000720827323626
77	-99	-20	-0.000360417424427	-0.000434266270443	-0.000707755002811
79	-99	-20	-0.000362582606837	-0.00043937663629	-0.000688665506062
81	-99	-20	-0.000365252926932	-0.000443200626	-0.000667727510267
83	-99	-20	-0.000365013773896	-0.000446615573608	-0.000647664196249
85	-99	-20	-0.000359347406736	-0.000450278224398	-0.00063032790155
87	-99	-20	-0.000345962274428	-0.000454795030384	-0.000617287004038
89	-99	-20	-0.00032263325109	-0.000460763881167	-0.000609956760469
91	-99	-20	-0.00028712860484	-0.000468790955763	-0.000609647430242
93	-99	-20	-0.000237146396813	-0.00047950066096	-0.000617589687839
95	-99	-20	-0.0001702068588	-0.000493551377976	-0.000634961979342
97	-99	-20	-8.3381815464e-05	-0.000511685433357	-0.000662950193931
99	-99	-20	2.78703327042e-05	-0.000534981093103	-0.000702997889359
-99	-97	-20	-0.000100450497911	0.000292460062118	-0.000284056271634
-97	-97	-20	-8.46871576107e-05	0.000300405684275	-0.000281651627849
-95	-97	-20	-7.48694801227e-05	0.000306935103146	-0.000281538302675
-93	-97	-20	-6.97859792707e-05	0.000312304130775	-0.000283555088786
-91	-97	-20	-6.86041266164e-05	0.0003166852634	-0.000287526100414
-89	-97	-20	-7.06672415785e-05	0.000320213378917	-0.000293252709061
-87	-97	-20	-7.53997559516e-05	0.000323006494128	-0.000300510586263
-85	-97	-20	-8.22683175808e-05	0.000325174170038	-0.000309048411548
-83	-97	-20	-9.07606348969e-05	0.000326822645886	-0.000318584574679
-81	-97	-20	-0.000100365625578	0.000328060560941	-0.000328796421878
-79	-97	-20	-0.000110536958914	0.000329009353284	-0.000339287306826
-77	-97	-20	-0.000120618971672	0.000329823014765	-0.000349510674603
-75	-97	-20	-0.000130062346448	0.000330634692672	-0.000359005985306
-73	-97	-20	-0.00013897465829	0.000331418364823	-0.00036799567098
-71	-97	-20	-0.000147567200945	0.000332125184998	-0.000376788200519
-69	-97	-20	-0.000155936310345	0.000332735275516	-0.000385542205898
-67	-97	-20	-0.00016413355785	0.000333237155414	-0.000394342471669
-65	-97	-20	-0.000172196495024	0.000333617829776	-0.000403232868455
-63	-97	-20	-0.000180159054488	0.000333859604054	-0.000412226588313
-61	-97	-20	-0.000188055079094	0.000333940865764	-0.000421307205817
-59	-97	-20	-0.00019591966266	0.00033384013931	-0.000430422544945
-57	-97	-20	-0.000203790730443	0.000333543877619	-0.000439464499214
-55	-97	-20	-0.000211712654634	0.00033305886923	-0.000448223173366
-53	-97	-20	-0.00021972289574	0.000332391166232	-0.000456525461428
-51	-97	-20	-0.000227819126832	0.000331485375046	-0.00046458718379
-49	-97	-20	-0.000235991481693	0.000330284937825	-0.000472658758321
-47	-97	-20	-0.000244235352655	0.000328753031782	-0.000480884495564
-45	-97	-20	-0.000252547404748	0.00032686049542	-0.000489346483653
-43	-97	-20	-0.000260924104803	0.000324579104519	-0.000498083090862
-41	-97	-20	-0.000269361684888	0.000321879474699	-0.000507093972859
-39	-97	-20	-0.000277856931947	0.000318733110017	-0.000516338954211
-37	-97	-20	-0.000286409103458	0.000315118927261	-0.000525730058214
-35	-97	-20	-0.000295024626831	0.000311035964509	-0.000535106836892
-33	-97	-20	-0.000303727060709	0.000306524622837	-0.000544179824612
