% Model,Multiple Magnets Simulation_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Aug 17 2026, 10:16"
% Dimension,3
% Nodes,64
% Expressions,12
% Description,"Bx, By, Bz, Gxx, Gxy, Gxz, Gyx, Gyy, Gyz, Gzx, Gzy, Gzz"
% Length unit,m
% x,y,z,mfnc.Bx (T),mfnc.By (T),mfnc.Bz (T),d(mfnc.Bx;x) (T/m),d(mfnc.Bx;y) (T/m),d(mfnc.Bx;z) (T/m),d(mfnc.By;x) (T/m),d(mfnc.By;y) (T/m),d(mfnc.By;z) (T/m),d(mfnc.Bz;x) (T/m),d(mfnc.Bz;y) (T/m),d(mfnc.Bz;z) (T/m)
0.7142857142857142,-0.1428571428571429,-0.2,-7.627684362529088E-9,-3.279386080256788E-8,-1.0573304940520074E-7,1.1392611202494558E-7,1.0955986778012064E-7,2.1749050095755035E-7,1.0955986778012064E-7,1.3279275060757325E-7,-3.421417653754661E-7,2.1749050095755035E-7,-3.421417653754661E-7,-2.469172249614215E-7
1,-0.1428571428571429,-0.2,6.483124229690836E-9,-1.0941536354834626E-8,-5.311804955708647E-8,6.89323005287745E-9,4.6277128951686746E-8,1.3573903492344026E-7,4.6277128951686746E-8,5.67747359212997E-8,-1.0388128792933896E-7,1.3573903492344026E-7,-1.0388128792933896E-7,-6.395114873220389E-8
-1,0.1428571428571428,-0.2,4.599772858578382E-8,3.891000431869652E-8,-3.201940922294297E-8,1.7136920566041278E-7,1.8325832423342102E-7,-6.10942979381869E-8,1.8325832423342102E-7,6.823128970790459E-9,1.5148852007002075E-8,-6.10942979381869E-8,1.5148852007002075E-8,-1.790161211247425E-7
-0.7142857142857143,0.1428571428571428,-0.2,1.341974133849862E-7,1.8228591552969235E-7,-3.2750882769210977E-8,4.162022988262097E-7,1.1015087480911002E-6,1.93689647578045E-7,1.1015087480911002E-6,4.347703034929198E-7,4.0122849073903876E-7,1.93689647578045E-7,4.0122849073903876E-7,-8.495938102398411E-7
-0.4285714285714286,0.1428571428571428,-0.2,-1.8604441940845758E-7,5.621553991817022E-7,1.6489799363448625E-8,-2.5106399410030867E-6,-1.3485973171028578E-6,-1.6266784567196604E-6,-1.3485973171028578E-6,4.725110217507562E-6,3.947835434056318E-6,-1.6266784567196604E-6,3.947835434056318E-6,-2.1989688031921364E-6
-0.1428571428571429,0.1428571428571428,-0.2,-3.887463220851681E-8,7.580801397372657E-8,-2.5054007785682987E-7,9.120660572507731E-7,-2.2501593241167718E-7,2.0545583918834768E-7,-2.2501593241167718E-7,4.856984507183127E-7,-2.6037318558621113E-7,2.0545583918834768E-7,-2.6037318558621113E-7,-1.400816656242056E-6
0.1428571428571428,0.1428571428571428,-0.2,9.160786734148017E-8,2.125750558208643E-7,-2.425457738644238E-7,1.770702093755275E-7,1.2252112053701051E-6,-1.8802581735650396E-7,1.2252112053701051E-6,1.7934215253256305E-6,2.1492790247522455E-7,-1.8802581735650396E-7,2.1492790247522455E-7,-1.9763373626439024E-6
0.4285714285714284,0.1428571428571428,-0.2,-7.899979929344692E-8,5.59347771944212E-7,-2.979968178561571E-7,-1.215716707338442E-6,-4.931977307014076E-7,-4.074623436026821E-7,-4.931977307014076E-7,6.554596512299297E-6,2.2589523212388583E-6,-4.074623436026821E-7,2.2589523212388583E-6,-5.318348634158958E-6
0.7142857142857142,0.1428571428571428,-0.2,-5.739675522185075E-8,1.2625139155330233E-7,-2.4735513219636694E-7,5.300180871517138E-7,-8.938717566166777E-7,8.093746640603618E-7,-8.938717566166777E-7,1.2206451207188093E-6,-4.3965725378846284E-7,8.093746640603618E-7,-4.3965725378846284E-7,-1.755412295436081E-6
1,0.1428571428571428,-0.2,3.153833057136296E-9,2.2657338052473335E-8,-8.485192865557411E-8,3.50658974497834E-8,-1.1030233279145136E-7,3.097311642304017E-7,-1.1030233279145136E-7,1.6544103519828573E-7,-9.103978834626744E-8,3.097311642304017E-7,-9.103978834626744E-8,-2.0188528725999236E-7
-1,0.4285714285714284,-0.2,8.766752522003781E-8,1.3165801374024825E-8,-2.5049144305294025E-8,4.192515657357305E-7,4.683144689848022E-8,-4.9201419684000844E-9,4.683144689848022E-8,-1.6529038703732418E-7,2.4240219739128726E-8,-4.9201419684000844E-9,2.4240219739128726E-8,-2.5730135546093024E-7
-0.7142857142857143,0.4285714285714284,-0.2,4.287273506840475E-7,4.267830389049485E-8,9.428934849912159E-8,2.5801214482074633E-6,1.9643411470109985E-7,1.7280850604235254E-6,1.9643411470109985E-7,-1.1847155083888476E-6,1.4819368783730862E-7,1.7280850604235254E-6,1.4819368783730862E-7,-1.3895770034785746E-6
