Iteration,TotalLoss,DataLoss,TvLoss,TraceLoss,CtLoss,StepSize
30,0.0792934635322528,0.000283383223941779,1.54694637953033,1.72302781201319,0.00703751667426656,0.000128629237355675
31,0.0792739366704377,0.000291228059806881,1.5467144938787,1.72223903127617,0.00718842947102157,0.000135060699223458
32,0.0792519285125471,0.00029909492066499,1.54647121421463,1.72132980959909,0.00743178426692414,0.000141813734184631
33,0.0792470772824563,0.0003076418680964,1.54634650330075,1.72085322898358,0.00767071801627564,0.000148904420893863
34,0.07923041086097,0.000315978743397126,1.5461059835372,1.72012600641998,0.00783750452135103,0.000156349641938556
35,0.0792261695591832,0.00032503178300486,1.54598569749069,1.71963103179699,0.00811116466976146,0.000164167124035484
36,0.0792125587070226,0.000333720398390192,1.54574183401513,1.71898327431344,0.00827608497401558,0.000172375480237258
37,0.0788631690995919,0.000336607413036597,1.54442908277158,1.71032180613809,0.00660747392316495,9.04971271245605e-05
38,0.0787854307290514,0.000339990292952502,1.54419371007643,1.70808774335317,0.00660224489104251,4.75109917403943e-05
39,0.0787739245447789,0.000344287476669975,1.5440791752447,1.70756990333336,0.00678701742524456,4.9886541327414e-05
40,0.0787491067529053,0.00034846066407688,1.54395130547706,1.70676463099412,0.00682341691547327,5.23808683937847e-05
41,0.0787368016615346,0.000352549395682169,1.54384568165,1.70628975182755,0.00689813860440202,5.49999118134739e-05
42,0.0787167364509458,0.00035652159529388,1.54373464494509,1.70561418671554,0.00694512906334328,5.77499074041476e-05
43,0.0787050636056223,0.000360663960759187,1.54361572142104,1.7051354391261,0.00706353091985511,6.0637402774355e-05
44,0.078699149123857,0.00036485857301619,1.54348952692327,1.70486584884952,0.00710557590141624,6.36692729130728e-05
45,0.0786830083399178,0.000368952240011973,1.54336831631444,1.70426860522478,0.007211756063264,6.68527365587264e-05
46,0.0786749976670577,0.000373322816731225,1.54329062405516,1.70391898807804,0.00725113894665418,7.01953733866627e-05
47,0.0786671415853602,0.000377627545566826,1.54316462424356,1.70355947769976,0.00734784146895599,7.37051420559959e-05
48,0.0786590272489317,0.000382075009488045,1.54305450064355,1.7031898274849,0.00743271348746986,7.73903991587957e-05
49,0.0786565114873681,0.000386489109986805,1.54294188838467,1.70296527864404,0.00754674821119475,8.12599191167354e-05
50,0.0786411181142696,0.000391169716997084,1.54282879042758,1.70236279079837,0.00766526170993784,8.53229150725722e-05
51,0.0784981305010404,0.000393175049588335,1.54245373619252,1.69872065287546,0.00701438832503184,4.47945304131004e-05
52,0.0784571358706078,0.000394919340444962,1.54236204168114,1.6975557949333,0.00697096036617843,2.35171284668777e-05
53,0.0784484871190957,0.000397120535791579,1.5423139936686,1.69724269476765,0.00700521712065892,2.46929848902216e-05
54,0.078435916131634,0.000399199436676097,1.54225857205334,1.69682880401322,0.00703028449275225,2.59276341347327e-05
55,0.0784295676779902,0.00040131959079009,1.54221057114898,1.69659020427752,0.00705320418495121,2.72240158414693e-05
56,0.0784177211706288,0.000403432734237913,1.54215975217772,1.69619214819834,0.0070823111658092,2.85852166335428e-05
57,0.0784124980063468,0.00040558279714067,1.54210632729171,1.69598055891787,0.00711598597900595,3.00144774652199e-05
